date,ticker,action,weight_before,weight_after,weight_change,estimated_dollars_traded,estimated_fee,long_probability,portfolio_before_trades
2025-01-02,ADBE,BUY,0.0,0.1,0.1,10000.0,10.0,0.9999998807907104,100000.0
2025-01-02,COST,BUY,0.0,0.1,0.1,10000.0,10.0,0.9999998807907104,100000.0
2025-01-02,CRM,BUY,0.0,0.1,0.1,10000.0,10.0,0.9999998807907104,100000.0
2025-01-02,CVS,BUY,0.0,0.1,0.1,10000.0,10.0,0.9999998807907104,100000.0
2025-01-02,LIN,BUY,0.0,0.1,0.1,10000.0,10.0,0.9999997615814209,100000.0
2025-01-02,MU,BUY,0.0,0.1,0.1,10000.0,10.0,0.9999998807907104,100000.0
2025-01-02,ORCL,BUY,0.0,0.1,0.1,10000.0,10.0,0.9999998807907104,100000.0
2025-01-02,SCHW,BUY,0.0,0.1,0.1,10000.0,10.0,0.9999998807907104,100000.0
2025-01-02,TMUS,BUY,0.0,0.1,0.1,10000.0,10.0,0.9999998807907104,100000.0
2025-01-02,UNH,BUY,0.0,0.1,0.1,10000.0,10.0,0.9999998807907104,100000.0
2025-02-03,ADBE,SELL,0.09171915902246051,0.0,-0.09171915902246051,9935.632791324539,9.935632791324538,0.9999892711639404,108326.68874440361
2025-02-03,AMD,BUY,0.0,0.1,0.1,10832.668874440362,10.832668874440362,0.9999995231628418,108326.68874440361
2025-02-03,AVGO,BUY,0.0,0.1,0.1,10832.668874440362,10.832668874440362,0.9999997615814209,108326.68874440361
2025-02-03,COST,SELL,0.10195391669482275,0.0,-0.10195391669482275,11044.330200072918,11.044330200072919,0.983329713344574,108326.68874440361
2025-02-03,CRM,BUY,0.09461400409860918,0.1,0.005385995901390828,583.4471015885978,0.5834471015885978,0.9999990463256836,108326.68874440361
2025-02-03,CVS,SELL,0.11816693621534252,0.0,-0.11816693621534252,12800.632919279204,12.800632919279204,0.9998542070388794,108326.68874440361
2025-02-03,DHR,BUY,0.0,0.1,0.1,10832.668874440362,10.832668874440362,0.9999996423721313,108326.68874440361
2025-02-03,LIN,SELL,0.10113652971906482,0.0,-0.10113652971906482,10955.78537556626,10.95578537556626,0.9918346405029297,108326.68874440361
2025-02-03,LMT,BUY,0.0,0.1,0.1,10832.668874440362,10.832668874440362,0.9999996423721313,108326.68874440361
2025-02-03,MU,BUY,0.09495608587260541,0.1,0.0050439141273945914,546.390515731774,0.546390515731774,0.9999998807907104,108326.68874440361
2025-02-03,NVDA,BUY,0.0,0.1,0.1,10832.668874440362,10.832668874440362,0.9999998807907104,108326.68874440361
2025-02-03,ORCL,BUY,0.09387873475414901,0.1,0.006121265245850993,663.0963950092357,0.6630963950092358,0.9999997615814209,108326.68874440361
2025-02-03,SCHW,SELL,0.10334901040200654,0.0,-0.10334901040200654,11195.456081860293,11.195456081860293,0.9999567270278931,108326.68874440361
2025-02-03,TMUS,SELL,0.10002200279817224,0.0,-0.10002200279817224,10835.05236470947,10.83505236470947,0.9996486902236938,108326.68874440361
2025-02-03,TSLA,BUY,0.0,0.1,0.1,10832.668874440362,10.832668874440362,0.9999997615814209,108326.68874440361
2025-02-03,UNH,SELL,0.10020362042276691,0.0,-0.10020362042276691,10854.726400599437,10.854726400599437,0.9999978542327881,108326.68874440361
2025-02-03,UPS,BUY,0.0,0.1,0.1,10832.668874440362,10.832668874440362,0.9999996423721313,108326.68874440361
2025-03-04,ACN,BUY,0.0,0.1,0.1,10016.155606668399,10.016155606668399,0.9999998807907104,100161.55606668399
