seed,validation_year,return,sharpe,max_drawdown,turnover,score
11,2021,0.0,0.0,0.0,0.0,0.0
11,2022,0.0,0.0,0.0,0.0,0.0
11,2023,0.0,0.0,0.0,0.0,0.0
11,2024,0.0,0.0,0.0,0.0,0.0
22,2021,0.0,0.0,0.0,0.0,0.0
22,2022,0.0,0.0,0.0,0.0,0.0
22,2023,0.0,0.0,0.0,0.0,0.0
22,2024,0.0,0.0,0.0,0.0,0.0
33,2021,0.0,0.0,0.0,0.0,0.0
33,2022,0.0,0.0,0.0,0.0,0.0
33,2023,0.0,0.0,0.0,0.0,0.0
33,2024,0.0,0.0,0.0,0.0,0.0
