run_signature,seed,validation_year,return,spy_return,excess_return,sharpe,spy_sharpe,max_drawdown,spy_max_drawdown,turnover,average_exposure,average_holdings,active,score
514bc7f3658c19cf,11,2021,0.2770978686329564,0.3040107232778053,-0.026912854644848938,1.5268808912183611,2.1327201356735617,-0.08685312506520126,-0.051141448023500846,7.799999999999997,0.8324631857556286,65.92307692307692,True,-0.12671666057355413
514bc7f3658c19cf,11,2022,-0.22143155127219316,-0.18711491412861836,-0.0343166371435748,-0.8333151124478563,-0.7352919818765361,-0.27155077063713184,-0.24496400650373296,7.503316730859759,0.6960351715878258,60.0,True,-0.05566679776262255
514bc7f3658c19cf,11,2023,0.4219723823321748,0.26607857883306685,0.15589380349910797,2.02359832146069,1.8960392914599151,-0.1729596511879009,-0.09974314636021375,7.799999999999999,0.8795178650062516,80.15384615384616,True,0.1567235317923024
514bc7f3658c19cf,11,2024,0.2564757880167652,0.25488829263295965,0.0015874953838055372,1.4869368431103092,1.8824112359881822,-0.13172508389463033,-0.08405604204392136,7.799999999999998,0.8210405219418321,72.61538461538461,True,-0.06965092401055265
514bc7f3658c19cf,22,2021,0.3625684137827454,0.3040107232778053,0.058557690504940085,1.830636789650529,2.1327201356735617,-0.09426146516631573,-0.051141448023500846,7.799999999999999,0.880392266344401,77.6923076923077,True,0.002465184315781452
514bc7f3658c19cf,22,2022,-0.21290776707367953,-0.18711491412861836,-0.025792852945061173,-0.813668016948248,-0.7352919818765361,-0.2520216461682373,-0.24496400650373296,6.998215826655164,0.6348083649577227,52.92307692307692,True,-0.03931366812194404
514bc7f3658c19cf,22,2023,0.28864766141923504,0.26607857883306685,0.022569082586168188,1.687181529619019,1.8960392914599151,-0.14173136870404945,-0.09974314636021375,7.8005350187917735,0.8940179629518196,77.92307692307692,True,-0.01925663727592517
514bc7f3658c19cf,22,2024,0.21335981560438122,0.25488829263295965,-0.041528477028578425,1.3286364927315566,1.8824112359881822,-0.09739293907340985,-0.08405604204392136,7.799999999999997,0.8283826288239313,77.07692307692308,True,-0.12792891277444438
514bc7f3658c19cf,33,2021,0.23385594489118366,0.3040107232778053,-0.07015477838662165,1.3493339530078134,2.1327201356735617,-0.09115962195065197,-0.051141448023500846,7.799999999999999,0.8800934882262443,87.38461538461539,True,-0.19766724926827164
514bc7f3658c19cf,33,2022,-0.24466029203960327,-0.18711491412861836,-0.05754537791098491,-0.9432628325777443,-0.7352919818765361,-0.2657046185456784,-0.24496400650373296,7.063607353391327,0.6493358853720284,60.0,True,-0.09392615852665251
514bc7f3658c19cf,33,2023,0.450485708120443,0.26607857883306685,0.18440712928737613,2.064096664578776,1.8960392914599151,-0.17888610064843746,-0.09974314636021375,7.799999999999998,0.8543443168592595,76.61538461538461,True,0.18982999668314934
514bc7f3658c19cf,33,2024,0.2146373307484135,0.25488829263295965,-0.04025096188454613,1.3259129261207037,1.8824112359881822,-0.10789906118103665,-0.08405604204392136,7.614902844996389,0.7122353718782068,62.61538461538461,True,-0.12968646314894672
