date,ticker,action,weight_before,weight_after,weight_change,estimated_dollars_traded,estimated_fee,long_probability,portfolio_before_trades
2025-01-02,ABBV,BUY,0.0,0.1,0.1,10000.0,10.0,0.8120940923690796,100000.0
2025-01-02,AVGO,BUY,0.0,0.1,0.1,10000.0,10.0,0.9447791576385498,100000.0
2025-01-02,BA,BUY,0.0,0.1,0.1,10000.0,10.0,0.9417608976364136,100000.0
2025-01-02,CSCO,BUY,0.0,0.1,0.1,10000.0,10.0,0.722285807132721,100000.0
2025-01-02,FDX,BUY,0.0,0.1,0.1,10000.0,10.0,0.8003976345062256,100000.0
2025-01-02,GILD,BUY,0.0,0.1,0.1,10000.0,10.0,0.8795856833457947,100000.0
2025-01-02,GM,BUY,0.0,0.1,0.1,10000.0,10.0,0.8036704659461975,100000.0
2025-01-02,MRK,BUY,0.0,0.1,0.1,10000.0,10.0,0.8314632177352905,100000.0
2025-01-02,PFE,BUY,0.0,0.1,0.1,10000.0,10.0,0.9554926156997681,100000.0
2025-01-02,TSLA,BUY,0.0,0.1,0.1,10000.0,10.0,0.8404718041419983,100000.0
2025-02-03,ABBV,SELL,0.10701543863883616,0.1,-0.0070154386388361495,700.4938897385471,0.7004938897385471,0.9991911053657532,99850.33378536654
2025-02-03,AVGO,BUY,0.09390392566838963,0.1,0.006096074331610371,608.6950567917008,0.6086950567917009,0.9999312162399292,99850.33378536654
2025-02-03,BA,SELL,0.10237823879195164,0.1,-0.002378238791951634,237.46793719767754,0.23746793719767756,0.9999749660491943,99850.33378536654
2025-02-03,CSCO,SELL,0.10403808320592098,0.1,-0.004038083205920973,403.2039559642921,0.4032039559642921,0.9999642372131348,99850.33378536654
2025-02-03,FDX,BUY,0.09022277970224872,0.1,0.009777220297751285,976.2587102235267,0.9762587102235267,0.9998131394386292,99850.33378536654
2025-02-03,GILD,SELL,0.1071276892489943,0.1,-0.00712768924899429,711.7021506304484,0.7117021506304484,0.9999719858169556,99850.33378536654
2025-02-03,GM,BUY,0.09329146510341732,0.1,0.006708534896582685,669.8494486345605,0.6698494486345605,0.9996028542518616,99850.33378536654
2025-02-03,MRK,SELL,0.10067522986529542,0.1,-0.0006752298652954181,67.42192743159558,0.06742192743159559,0.9998730421066284,99850.33378536654
2025-02-03,PFE,SELL,0.10013674087641307,0.1,-0.00013674087641306343,13.653622151947939,0.01365362215194794,0.9999557733535767,99850.33378536654
2025-02-03,TSLA,SELL,0.10121040889853249,0.1,-0.0012104088985324807,120.85973253524607,0.12085973253524607,0.9999692440032959,99850.33378536654
2025-03-04,ABBV,SELL,0.11352430465234215,0.1,-0.01352430465234214,1299.7039584383197,1.2997039584383197,0.9999890327453613,96101.35174034526
2025-03-04,AVGO,BUY,0.08946168235748773,0.1,0.010538317642512271,1012.7465705145578,1.0127465705145577,0.9691175818443298,96101.35174034526
2025-03-04,BA,BUY,0.09387123655555979,0.1,0.006128763444440216,588.9824515075192,0.5889824515075192,0.9994522929191589,96101.35174034526
2025-03-04,CSCO,SELL,0.10767504797915724,0.1,-0.007675047979157232,737.5824854690152,0.7375824854690152,0.9999656677246094,96101.35174034526
2025-03-04,FDX,SELL,0.10406439910159421,0.1,-0.004064399101594202,390.5942476754476,0.3905942476754476,0.9999409914016724,96101.35174034526
2025-03-04,GILD,SELL,0.12117371769888068,0.1,-0.02117371769888067,2034.8228922309052,2.0348228922309053,0.9999886751174927,96101.35174034526
2025-03-04,GM,BUY,0.09808337239803848,0.1,0.0019166276019615264,184.19050333135908,0.18419050333135908,0.999922513961792,96101.35174034526
2025-03-04,MRK,BUY,0.09636886404592193,0.1,0.003631135954078074,348.95707353987115,0.34895707353987115,0.9999833106994629,96101.35174034526
2025-03-04,PFE,SELL,0.10211189292554072,0.1,-0.0021118929255407176,202.9557648753353,0.2029557648753353,0.9999713897705078,96101.35174034526
2025-03-04,TSLA,BUY,0.07366548228547742,0.1,0.02633451771452258,2530.782749795688,2.5307827497956876,0.9993919134140015,96101.35174034526
2025-04-01,ABBV,SELL,0.10104709534748717,0.1,-0.001047095347487162,98.86073602874595,0.09886073602874595,0.9999123811721802,94414.26348230246
2025-04-01,AVGO,BUY,0.09176105442264516,0.1,0.008238945577354842,777.8739785567305,0.7778739785567306,0.9996412992477417,94414.26348230246
2025-04-01,BA,SELL,0.10771454573868673,0.1,-0.007714545738686726,728.3631540186421,0.7283631540186422,0.999980092048645,94414.26348230246
2025-04-01,CSCO,BUY,0.09942806644453521,0.1,0.0005719335554647959,53.998685400023284,0.05399868540002328,0.99997878074646,94414.26348230246
2025-04-01,FDX,BUY,0.09995391724472455,0.1,4.608275527545613e-05,4.3508693985673785,0.004350869398567379,0.9999706745147705,94414.26348230246
2025-04-01,GILD,BUY,0.0994006991123354,0.1,0.0005993008876646055,56.58255191314382,0.05658255191314382,0.9999624490737915,94414.26348230246
2025-04-01,GM,SELL,0.10663958026474077,0.1,-0.006639580264740763,626.87108052713,0.6268710805271299,0.9999450445175171,94414.26348230246
2025-04-01,MRK,BUY,0.096622905665883,0.1,0.003377094334117009,318.84587426591406,0.31884587426591404,0.9999319314956665,94414.26348230246
2025-04-01,PFE,BUY,0.09699449389402363,0.1,0.0030055061059763716,283.762645387322,0.283762645387322,0.9999364614486694,94414.26348230246
2025-04-01,TSLA,SELL,0.10043764186493812,0.1,-0.00043764186493810975,41.31963434715292,0.04131963434715292,0.9997085928916931,94414.26348230246
2025-04-30,ABBV,BUY,0.09609056858820617,0.1,0.00390943141179384,366.6680296722616,0.3666680296722616,0.9999759197235107,93790.6286234131
2025-04-30,AVGO,SELL,0.11496774665973677,0.1,-0.01496774665973677,1403.8343682927032,1.4038343682927032,0.9999611377716064,93790.6286234131
2025-04-30,BA,SELL,0.10968220731566578,0.1,-0.00968220731566577,908.1003105985016,0.9081003105985016,0.9999878406524658,93790.6286234131
2025-04-30,CSCO,BUY,0.09466019651555649,0.1,0.005339803484443517,500.82352553144915,0.5008235255314492,0.9999386072158813,93790.6286234131
