date,ticker,action,weight_before,weight_after,weight_change,estimated_dollars_traded,estimated_fee,long_probability,portfolio_before_trades
2025-01-02,ABBV,BUY,0.0,0.1,0.1,10000.0,10.0,0.8120941519737244,100000.0
2025-01-02,AVGO,BUY,0.0,0.1,0.1,10000.0,10.0,0.9447795748710632,100000.0
2025-01-02,BA,BUY,0.0,0.1,0.1,10000.0,10.0,0.9417608976364136,100000.0
2025-01-02,CSCO,BUY,0.0,0.1,0.1,10000.0,10.0,0.7222840189933777,100000.0
2025-01-02,FDX,BUY,0.0,0.1,0.1,10000.0,10.0,0.8003976345062256,100000.0
2025-01-02,GILD,BUY,0.0,0.1,0.1,10000.0,10.0,0.8795865178108215,100000.0
2025-01-02,GM,BUY,0.0,0.1,0.1,10000.0,10.0,0.8036708831787109,100000.0
2025-01-02,MRK,BUY,0.0,0.1,0.1,10000.0,10.0,0.8314634561538696,100000.0
2025-01-02,PFE,BUY,0.0,0.1,0.1,10000.0,10.0,0.9554924368858337,100000.0
2025-01-02,TSLA,BUY,0.0,0.1,0.1,10000.0,10.0,0.8404717445373535,100000.0
2025-02-03,ABBV,SELL,0.107015443507934,0.1,-0.007015443507933997,700.4944188834281,0.7004944188834281,0.9991911053657532,99850.33990954612
2025-02-03,AVGO,BUY,0.09390390657926155,0.1,0.006096093420738455,608.6970001810824,0.6086970001810824,0.9999312162399292,99850.33990954612
2025-02-03,BA,SELL,0.10237823251272697,0.1,-0.002378232512726966,237.46732477972154,0.23746732477972154,0.9999749660491943,99850.33990954612
2025-02-03,CSCO,SELL,0.1040380975236721,0.1,-0.004038097523672096,403.20541032655524,0.40320541032655527,0.9999642372131348,99850.33990954612
2025-02-03,FDX,BUY,0.09022276774235787,0.1,0.00977723225764214,976.2599643001467,0.9762599643001467,0.9998131394386292,99850.33990954612
2025-02-03,GILD,SELL,0.10712769193503316,0.1,-0.007127691935033154,711.7024624835909,0.7117024624835909,0.9999719858169556,99850.33990954612
2025-02-03,GM,BUY,0.09329146692215612,0.1,0.006708533077843887,669.8493081171457,0.6698493081171457,0.9996028542518616,99850.33990954612
2025-02-03,MRK,SELL,0.10067523994808651,0.1,-0.0006752399480865062,67.42293833694193,0.06742293833694192,0.9998730421066284,99850.33990954612
2025-02-03,PFE,SELL,0.10013675063783659,0.1,-0.00013675063783658015,13.654597670829766,0.013654597670829766,0.9999557733535767,99850.33990954612
2025-02-03,TSLA,SELL,0.10121040269093494,0.1,-0.0012104026909349336,120.85912011728242,0.12085912011728242,0.9999692440032959,99850.33990954612
2025-03-04,ABBV,SELL,0.1135243006356682,0.1,-0.013524300635668188,1299.7036564099208,1.2997036564099207,0.9999890327453613,96101.35794986393
2025-03-04,AVGO,BUY,0.08946169475785196,0.1,0.01053830524214805,1012.7454442605972,1.0127454442605972,0.9691177606582642,96101.35794986393
2025-03-04,BA,BUY,0.09387123624211036,0.1,0.006128763757889649,588.9825196871063,0.5889825196871064,0.9994522929191589,96101.35794986393
2025-03-04,CSCO,SELL,0.10767504066368556,0.1,-0.007675040663685559,737.5818301006071,0.7375818301006072,0.9999656677246094,96101.35794986393
2025-03-04,FDX,SELL,0.10406440696024125,0.1,-0.00406440696024124,390.5950281400618,0.3905950281400618,0.9999409914016724,96101.35794986393
2025-03-04,GILD,SELL,0.12117372567848556,0.1,-0.02117372567848555,2034.8237905603653,2.0348237905603654,0.9999886751174927,96101.35794986393
2025-03-04,GM,BUY,0.09808338093820423,0.1,0.0019166190617957712,184.1896945111678,0.18418969451116782,0.999922513961792,96101.35794986393
2025-03-04,MRK,BUY,0.09636884760458157,0.1,0.0036311523954184327,348.95867612261264,0.34895867612261267,0.9999833106994629,96101.35794986393
2025-03-04,PFE,SELL,0.1021118844796733,0.1,-0.0021118844796732955,202.95496632984552,0.20295496632984553,0.9999713897705078,96101.35794986393
2025-03-04,TSLA,BUY,0.07366548203949799,0.1,0.026334517960502013,2530.7829369593246,2.5307829369593247,0.9993919134140015,96101.35794986393
2025-04-01,ABBV,SELL,0.10104710599794858,0.1,-0.0010471059979485775,98.86174706518744,0.09886174706518745,0.9999123811721802,94414.26871670203
2025-04-01,AVGO,BUY,0.09176105526513818,0.1,0.008238944734861822,777.8739421393014,0.7778739421393015,0.9996412992477417,94414.26871670203
2025-04-01,BA,SELL,0.10771454672765478,0.1,-0.0077145467276547725,728.363287772352,0.728363287772352,0.999980092048645,94414.26871670203
2025-04-01,CSCO,BUY,0.09942807370159737,0.1,0.0005719262984026363,53.99800322353522,0.05399800322353522,0.99997878074646,94414.26871670203
2025-04-01,FDX,BUY,0.09995391028044437,0.1,4.6089719555636455e-05,4.3515271672032965,0.004351527167203296,0.9999706745147705,94414.26871670203
2025-04-01,GILD,BUY,0.09940069314726331,0.1,0.0005993068527366946,56.583118238043255,0.05658311823804325,0.9999624490737915,94414.26871670203
2025-04-01,GM,SELL,0.10663956298304585,0.1,-0.006639562983045841,626.8694836427578,0.6268694836427579,0.9999450445175171,94414.26871670203
2025-04-01,MRK,BUY,0.09662290610574954,0.1,0.003377093894250463,318.84585041329694,0.31884585041329694,0.9999319314956665,94414.26871670203
