test,setting,return,max_drawdown,sharpe,turnover
rebalance_offset,0,1.2580881057109843,-0.3925917193969636,1.3333755875835753,7.09839437408728
rebalance_offset,1,1.3801908237480638,-0.40236268498705174,1.3872349338239032,6.753254156610722
rebalance_offset,2,1.2038381490885364,-0.40361995756427804,1.3198205478077287,7.220973801192501
rebalance_offset,3,1.3270188719259925,-0.4130915725470983,1.3480301560234793,7.11595235850427
rebalance_offset,4,1.2348375517138943,-0.3962545702547422,1.316289750948018,7.64946930650037
rebalance_offset,5,1.160713547656686,-0.39112219487579136,1.3043371219011701,6.82635727114904
rebalance_offset,6,1.4370234113568272,-0.4086078957742936,1.3962153359185694,6.4270697990013765
rebalance_offset,7,1.2244217998862337,-0.3982664239168452,1.292305265386821,6.7573143017849935
rebalance_offset,8,1.2725921701500522,-0.39620569327953037,1.34965699338435,6.658202226324639
rebalance_offset,9,1.3613503849560131,-0.3979682277252825,1.3905264364172278,6.88543927659892
rebalance_offset,10,1.347967617508227,-0.368927121494413,1.3783863735350643,6.8430268161667795
rebalance_offset,11,0.9950246638028144,-0.3970953091941579,1.164688805238605,7.01631475676495
rebalance_offset,12,0.9564696885277861,-0.3769167250111931,1.152785811646322,7.441446638538627
rebalance_offset,13,0.8877579566090537,-0.38100268052630915,1.107551552668742,7.017765879862756
rebalance_offset,14,1.019703490637324,-0.3869648214086857,1.2052884931011878,6.6416223855617265
rebalance_offset,15,1.2424305009420986,-0.382711285666289,1.370164743773881,6.581250532064854
rebalance_offset,16,1.0355414761246804,-0.4057573827485921,1.2083523976001116,6.633790925313853
rebalance_offset,17,1.0988064599412661,-0.4086566543820894,1.2585286902898039,6.660370106226877
rebalance_offset,18,0.9671981294824383,-0.4009550290091566,1.1849310265700308,6.409029558267581
rebalance_offset,19,1.1202292818309738,-0.40663611891965534,1.2868912598503028,6.630044178795456
concentration,top_5,2.5974116798549582,-0.45753611289118534,1.6991485953851255,5.63352361449963
concentration,top_8,1.95210604863744,-0.41794435987686307,1.6332413995494763,6.5941680371210945
concentration,top_10,1.2580881057109843,-0.3925917193969636,1.3333755875835753,7.09839437408728
concentration,top_15,0.7811221664335715,-0.3482914463572855,1.1196535321130852,7.140220621958553
concentration,top_20,0.7188606603839347,-0.3234455852774044,1.1293307489865345,6.800516779642529
concentration,top_30,0.6186979351724657,-0.30754048993225747,1.1364077148733482,5.900318800248318
trading_cost,0.100%,1.2580881057109843,-0.3925917193969636,1.3333755875835753,7.09839437408728
trading_cost,0.200%,1.242101885676934,-0.3931410330351305,1.3239985591017795,7.09839437408728
trading_cost,0.500%,1.194763410024911,-0.39478854175530775,1.2957580339124841,7.09839437408728
trading_cost,1.000%,1.1178966741585854,-0.39753294897452685,1.2483446236668299,7.09839437408728
execution,close,1.2769341844933724,-0.3952991935278368,1.3441420309305496,7.1624038197588
execution,next_open,1.2580881057109843,-0.3925917193969636,1.3333755875835753,7.09839437408728
