signal_date,execution_date,ticker,action,weight_before,weight_after,weight_change,score
2025-01-02,2025-01-03,NVDA,BUY,0.0,0.1,0.1,0.949748743718593
2025-01-02,2025-01-03,PLTR,BUY,0.0,0.1,0.1,0.9798994974874371
2025-01-02,2025-01-03,VRT,BUY,0.0,0.1,0.1,0.9396984924623115
2025-01-02,2025-01-03,APP,BUY,0.0,0.1,0.1,1.0
2025-01-02,2025-01-03,VST,BUY,0.0,0.1,0.1,0.9698492462311559
2025-01-02,2025-01-03,CEG,BUY,0.0,0.1,0.1,0.9195979899497488
2025-01-02,2025-01-03,CVNA,BUY,0.0,0.1,0.1,0.9899497487437185
2025-01-02,2025-01-03,UAL,BUY,0.0,0.1,0.1,0.9296482412060301
2025-01-02,2025-01-03,HOOD,BUY,0.0,0.1,0.1,0.9597989949748744
2025-01-02,2025-01-03,RCL,BUY,0.0,0.1,0.1,0.9095477386934674
2025-03-04,2025-03-05,NVDA,SELL,0.08748315293460027,0.0,-0.08748315293460027,0.6683417085427135
2025-03-04,2025-03-05,TSLA,BUY,0.0,0.1,0.1,0.9195979899497488
2025-03-04,2025-03-05,PLTR,SELL,0.11931598063361432,0.1,-0.01931598063361431,0.9899497487437185
2025-03-04,2025-03-05,VRT,SELL,0.07530941391376637,0.0,-0.07530941391376637,0.8592964824120604
2025-03-04,2025-03-05,APP,BUY,0.09853714768181264,0.1,0.001462852318187366,1.0
2025-03-04,2025-03-05,VST,BUY,0.08351083821555455,0.1,0.016489161784445455,0.9597989949748744
2025-03-04,2025-03-05,CEG,BUY,0.09591702642916695,0.1,0.004082973570833051,0.9095477386934674
2025-03-04,2025-03-05,CVNA,SELL,0.11932150273457373,0.1,-0.019321502734573726,0.9798994974874371
2025-03-04,2025-03-05,MMM,BUY,0.0,0.1,0.1,0.9296482412060301
2025-03-04,2025-03-05,UAL,BUY,0.09503216345700846,0.1,0.004967836542991544,0.949748743718593
2025-03-04,2025-03-05,HOOD,SELL,0.12229315313558348,0.1,-0.02229315313558347,0.9698492462311559
2025-03-04,2025-03-05,RCL,SELL,0.10327962086431862,0.1,-0.0032796208643186137,0.9396984924623115
2025-04-30,2025-05-01,TSLA,SELL,0.09897469467277789,0.0,-0.09897469467277789,0.8894472361809045
2025-04-30,2025-05-01,NFLX,BUY,0.0,0.1,0.1,0.9095477386934674
2025-04-30,2025-05-01,PLTR,SELL,0.1341064461459934,0.1,-0.034106446145993397,0.9899497487437185
2025-04-30,2025-05-01,TMUS,BUY,0.0,0.1,0.1,0.9195979899497488
2025-04-30,2025-05-01,APP,BUY,0.08422336402714542,0.1,0.015776635972854586,1.0
2025-04-30,2025-05-01,T,BUY,0.0,0.1,0.1,0.9597989949748744
2025-04-30,2025-05-01,VST,SELL,0.10750966652180424,0.1,-0.007509666521804237,0.9296482412060301
2025-04-30,2025-05-01,CEG,SELL,0.09729866839157877,0.0,-0.09729866839157877,0.025125628140703515
2025-04-30,2025-05-01,PM,BUY,0.0,0.1,0.1,0.9396984924623115
2025-04-30,2025-05-01,CVNA,SELL,0.11098118550300755,0.1,-0.010981185503007543,0.9798994974874371
2025-04-30,2025-05-01,GILD,BUY,0.0,0.1,0.1,0.949748743718593
2025-04-30,2025-05-01,MMM,SELL,0.09089450985600325,0.0,-0.09089450985600325,0.8994974874371859
