signal_date,execution_date,ticker,action,weight_before,weight_after,weight_change,score
2025-01-02,2025-01-02,NVDA,BUY,0.0,0.1,0.1,0.949748743718593
2025-01-02,2025-01-02,PLTR,BUY,0.0,0.1,0.1,0.9798994974874371
2025-01-02,2025-01-02,VRT,BUY,0.0,0.1,0.1,0.9396984924623115
2025-01-02,2025-01-02,APP,BUY,0.0,0.1,0.1,1.0
2025-01-02,2025-01-02,VST,BUY,0.0,0.1,0.1,0.9698492462311559
2025-01-02,2025-01-02,CEG,BUY,0.0,0.1,0.1,0.9195979899497488
2025-01-02,2025-01-02,CVNA,BUY,0.0,0.1,0.1,0.9899497487437185
2025-01-02,2025-01-02,UAL,BUY,0.0,0.1,0.1,0.9296482412060301
2025-01-02,2025-01-02,HOOD,BUY,0.0,0.1,0.1,0.9597989949748744
2025-01-02,2025-01-02,RCL,BUY,0.0,0.1,0.1,0.9095477386934674
2025-03-04,2025-03-04,NVDA,SELL,0.0873908788317382,0.0,-0.0873908788317382,0.6683417085427135
2025-03-04,2025-03-04,TSLA,BUY,0.0,0.1,0.1,0.9195979899497488
2025-03-04,2025-03-04,PLTR,SELL,0.11697185836631083,0.1,-0.01697185836631082,0.9899497487437185
2025-03-04,2025-03-04,VRT,SELL,0.07609879065159096,0.0,-0.07609879065159096,0.8592964824120604
2025-03-04,2025-03-04,APP,BUY,0.09977127385452116,0.1,0.00022872614547884973,1.0
2025-03-04,2025-03-04,VST,BUY,0.08838769258094499,0.1,0.011612307419055015,0.9597989949748744
2025-03-04,2025-03-04,CEG,BUY,0.0995039914290174,0.1,0.0004960085709826006,0.9095477386934674
2025-03-04,2025-03-04,CVNA,SELL,0.11231707575420523,0.1,-0.012317075754205223,0.9798994974874371
2025-03-04,2025-03-04,MMM,BUY,0.0,0.1,0.1,0.9296482412060301
2025-03-04,2025-03-04,UAL,BUY,0.09413947011224987,0.1,0.0058605298877501405,0.949748743718593
2025-03-04,2025-03-04,HOOD,SELL,0.12212149032947872,0.1,-0.022121490329478716,0.9698492462311559
2025-03-04,2025-03-04,RCL,SELL,0.10329747808994257,0.1,-0.00329747808994256,0.9396984924623115
2025-04-30,2025-04-30,TSLA,SELL,0.10216713018994655,0.0,-0.10216713018994655,0.8894472361809045
2025-04-30,2025-04-30,NFLX,BUY,0.0,0.1,0.1,0.9095477386934674
2025-04-30,2025-04-30,PLTR,SELL,0.13823068978751454,0.1,-0.03823068978751454,0.9899497487437185
2025-04-30,2025-04-30,TMUS,BUY,0.0,0.1,0.1,0.9195979899497488
2025-04-30,2025-04-30,APP,BUY,0.08106770361716163,0.1,0.018932296382838373,1.0
2025-04-30,2025-04-30,T,BUY,0.0,0.1,0.1,0.9597989949748744
2025-04-30,2025-04-30,VST,SELL,0.10076398389013795,0.1,-0.0007639838901379453,0.9296482412060301
2025-04-30,2025-04-30,CEG,SELL,0.09518955358999025,0.0,-0.09518955358999025,0.025125628140703515
2025-04-30,2025-04-30,PM,BUY,0.0,0.1,0.1,0.9396984924623115
2025-04-30,2025-04-30,CVNA,SELL,0.11190271423627628,0.1,-0.011902714236276271,0.9798994974874371
2025-04-30,2025-04-30,GILD,BUY,0.0,0.1,0.1,0.949748743718593
2025-04-30,2025-04-30,MMM,SELL,0.09380928900002414,0.0,-0.09380928900002414,0.8994974874371859
2025-04-30,2025-04-30,UAL,SELL,0.0786331272379253,0.0,-0.0786331272379253,0.5879396984924623
2025-04-30,2025-04-30,HOOD,SELL,0.10466187455276264,0.1,-0.004661874552762638,0.9698492462311559
2025-04-30,2025-04-30,RCL,SELL,0.09357393389826123,0.0,-0.09357393389826123,0.8492462311557789
2025-06-27,2025-06-27,TSLA,BUY,0.0,0.1,0.1,0.9597989949748744
2025-06-27,2025-06-27,NFLX,BUY,0.09664966768375369,0.1,0.0033503323162463183,0.9195979899497488
2025-06-27,2025-06-27,PLTR,BUY,0.09125364345303323,0.1,0.008746356546966774,1.0
2025-06-27,2025-06-27,TMUS,SELL,0.079042512733033,0.0,-0.079042512733033,0.728643216080402
2025-06-27,2025-06-27,APP,SELL,0.10245849091255817,0.1,-0.0024584909125581617,0.9899497487437185
2025-06-27,2025-06-27,T,SELL,0.08380258349835842,0.0,-0.08380258349835842,0.8492462311557789
2025-06-27,2025-06-27,VST,SELL,0.12453987272411263,0.1,-0.02453987272411262,0.9296482412060301
2025-06-27,2025-06-27,PM,BUY,0.08799110196970447,0.1,0.012008898030295534,0.9396984924623115
2025-06-27,2025-06-27,CVNA,SELL,0.10801207410889789,0.1,-0.008012074108897885,0.9698492462311559
2025-06-27,2025-06-27,GILD,SELL,0.0864828692313724,0.0,-0.0864828692313724,0.8994974874371859
2025-06-27,2025-06-27,DASH,BUY,0.0,0.1,0.1,0.949748743718593
2025-06-27,2025-06-27,HOOD,SELL,0.1397671836851762,0.1,-0.039767183685176205,0.9798994974874371
2025-06-27,2025-06-27,FTNT,BUY,0.0,0.1,0.1,0.9095477386934674
2025-08-25,2025-08-25,TSLA,SELL,0.10063145168010634,0.0,-0.10063145168010634,0.7386934673366834
2025-08-25,2025-08-25,COIN,BUY,0.0,0.1,0.1,0.9095477386934674
2025-08-25,2025-08-25,NFLX,SELL,0.08650216418139194,0.0,-0.08650216418139194,0.8592964824120604
2025-08-25,2025-08-25,PLTR,SELL,0.11295750749518749,0.1,-0.012957507495187481,0.9899497487437185
2025-08-25,2025-08-25,APP,SELL,0.12687087098106706,0.1,-0.026870870981067052,0.9798994974874371
2025-08-25,2025-08-25,VST,BUY,0.09157284303865441,0.1,0.008427156961345592,0.9698492462311559
2025-08-25,2025-08-25,PM,SELL,0.08687222541732782,0.0,-0.08687222541732782,0.6281407035175879
2025-08-25,2025-08-25,CVNA,SELL,0.10657662603681908,0.1,-0.006576626036819078,0.9396984924623115
2025-08-25,2025-08-25,CCL,BUY,0.0,0.1,0.1,0.9296482412060301
2025-08-25,2025-08-25,DASH,BUY,0.09511210279425858,0.1,0.004887897205741426,0.9195979899497488
2025-08-25,2025-08-25,UAL,BUY,0.0,0.1,0.1,0.949748743718593
2025-08-25,2025-08-25,HOOD,SELL,0.12215221416244153,0.1,-0.022152214162441522,1.0
2025-08-25,2025-08-25,FTNT,SELL,0.07075199421274546,0.0,-0.07075199421274546,0.6884422110552764
2025-08-25,2025-08-25,RCL,BUY,0.0,0.1,0.1,0.9597989949748744
2025-10-21,2025-10-21,TSLA,BUY,0.0,0.1,0.1,0.949748743718593
2025-10-21,2025-10-21,AVGO,BUY,0.0,0.1,0.1,0.9396984924623115
2025-10-21,2025-10-21,COIN,SELL,0.10439061047710212,0.0,-0.10439061047710212,0.829145728643216
2025-10-21,2025-10-21,PLTR,SELL,0.10894345901601032,0.1,-0.008943459016010319,0.9798994974874371
2025-10-21,2025-10-21,ORCL,BUY,0.0,0.1,0.1,0.9095477386934674
2025-10-21,2025-10-21,LRCX,BUY,0.0,0.1,0.1,0.9195979899497488
2025-10-21,2025-10-21,APP,SELL,0.11567627992136434,0.1,-0.015676279921364333,0.9899497487437185
2025-10-21,2025-10-21,VST,SELL,0.09266730478065778,0.0,-0.09266730478065778,0.8592964824120604
2025-10-21,2025-10-21,CVNA,BUY,0.09270627511558967,0.1,0.007293724884410338,0.9597989949748744
2025-10-21,2025-10-21,CCL,SELL,0.09047049462384185,0.0,-0.09047049462384185,0.7587939698492463
2025-10-21,2025-10-21,DASH,SELL,0.10075339555301654,0.0,-0.10075339555301654,0.8894472361809045
2025-10-21,2025-10-21,UAL,SELL,0.09227888357992763,0.0,-0.09227888357992763,0.7487437185929648
2025-10-21,2025-10-21,APH,BUY,0.0,0.1,0.1,0.9296482412060301
2025-10-21,2025-10-21,HOOD,SELL,0.11522189761856333,0.1,-0.015221897618563324,1.0
2025-10-21,2025-10-21,WDC,BUY,0.0,0.1,0.1,0.9698492462311559
2025-10-21,2025-10-21,RCL,SELL,0.08689139931392621,0.0,-0.08689139931392621,0.8693467336683418
2025-12-17,2025-12-17,TSLA,SELL,0.10138231279321563,0.0,-0.10138231279321563,-0.4371859296482412
2025-12-17,2025-12-17,AMD,BUY,0.0,0.1,0.1,0.9396984924623115
2025-12-17,2025-12-17,AVGO,SELL,0.0913683499499662,0.0,-0.0913683499499662,0.8592964824120604
