ticker,sector,final_weight,estimated_value
NOC,Industrials,0.03382952688102401,4554.636959887896
NFLX,Communication Services,0.030304046369962596,4079.9840363185813
CME,Financials,0.027958331899280885,3764.16886506049
TYL,Information Technology,0.023876819933968098,3214.654669523044
CSGP,Real Estate,0.023713096042921978,3192.611710187612
FDS,Financials,0.02071654423689912,2789.1710810611603
LULU,Consumer Discretionary,0.020637287045938726,2778.50029241683
TTD,Communication Services,0.01947804699525468,2622.4260558838464
NEM,Materials,0.019304794637097743,2599.100231770948
FISV,Financials,0.018911417807208522,2546.137958462243
CHTR,Communication Services,0.018389380015188504,2475.85342181014
COIN,Financials,0.017249924672797012,2322.442898664186
WDAY,Information Technology,0.017199973353674684,2315.717704869137
INTU,Information Technology,0.01697579401526878,2285.5353288655433
MOS,Materials,0.01629842681582328,2194.3380238349255
PLTR,Information Technology,0.016217760911986227,2183.4775731904
ALB,Materials,0.015645001984162656,2106.364198506041
NOW,Information Technology,0.014356515975446408,1932.88893773054
ECHO,Communication Services,0.013742146327150321,1850.173305407219
ORCL,Information Technology,0.01110210521201131,1494.731478481148
MA,Financials,0.009654293953580098,1299.8054692648761
PANW,Information Technology,0.00928969653782399,1250.7179111940045
VEEV,Health Care,0.008917650356072703,1200.6274888198122
TECH,Health Care,0.008862676297724435,1193.226058735713
TMO,Health Care,0.008848535299543561,1191.3221860273884
EA,Communication Services,0.008498242225624886,1144.1604924313222
ULTA,Consumer Discretionary,0.008465466730169404,1139.7477649490495
ADP,Industrials,0.008259470459051363,1112.01346546171
ERIE,Financials,0.008121283324957075,1093.4086463479118
STX,Information Technology,0.00803748404316469,1082.1263334912767
NVR,Consumer Discretionary,0.007796728444269293,1049.7122133386238
VRT,Industrials,0.007653647436346213,1030.4485077232189
AES,Utilities,0.007585296584959688,1021.246093658732
EXPE,Consumer Discretionary,0.007344259314672545,988.794050689839
CPAY,Financials,0.0072691932268038415,978.6875310378373
AMAT,Information Technology,0.007088531529071881,954.3641507960746
TPL,Energy,0.007067590258156984,951.5447236479663
RCL,Consumer Discretionary,0.007058716280341654,950.3499760098726
SYY,Consumer Staples,0.006734944001514056,906.7589085698344
BXP,Real Estate,0.006581481259000004,886.0974585448761
IRM,Real Estate,0.006579601831378496,885.8444218843734
ANET,Information Technology,0.006473536337329209,871.5642984565573
LYV,Communication Services,0.006418350368219046,864.1343377757482
TGT,Consumer Staples,0.00639521105964954,861.0189779184385
XYZ,Financials,0.006366587170894955,857.165201833545
BRK-B,Financials,0.006295792826281959,847.6338081590369
NCLH,Consumer Discretionary,0.006276163106352894,844.9909616239493
KLAC,Information Technology,0.006235829003043044,839.5605812841632
TPR,Consumer Discretionary,0.0061978033294446885,834.4409962836158
GNRC,Industrials,0.006162055854924874,829.6281365222834
INTC,Information Technology,0.00616114649002137,829.5057042159111
PSKY,Communication Services,0.006159538291359392,829.2891844552166
GEV,Industrials,0.005888072814116577,792.740441094656
COHR,Information Technology,0.0058717664607805965,790.5450358841058
MRNA,Health Care,0.005820308242737525,783.6169608148559
IFF,Materials,0.005698105962499848,767.1642618424293
SBAC,Real Estate,0.005671106429772036,763.5291808643748
AMD,Information Technology,0.005572187047651855,750.2111739221442
LMT,Industrials,0.0055350484927984235,745.2110261173239
JBL,Information Technology,0.0054912268754983345,739.3111044749375
ON,Information Technology,0.0054785697164760165,737.6070083906802
MGM,Consumer Discretionary,0.005428133083617457,730.8164744007191
DVA,Health Care,0.005350422310211177,720.3538876201676
HPE,Information Technology,0.005330494186484779,717.6708655021024
DELL,Information Technology,0.005325026944533078,716.9347836068561
IBKR,Financials,0.005324199907154414,716.8234354634038
DOW,Materials,0.005295174784493421,712.9156392680278
SO,Utilities,0.005292888221386212,712.6077879381573
NDAQ,Financials,0.005250652436327677,706.9213747543718
MRVL,Information Technology,0.005245485952435253,706.2257854080632
SJM,Consumer Staples,0.005215499721994777,702.1885905063361
AMCR,Materials,0.0051801469827234235,697.4288759089409
CNC,Health Care,0.005154154923065911,693.9294360262589
VST,Utilities,0.005116308747300792,688.8340177091048
SMCI,Information Technology,0.00510506415365333,687.3201023059787
PRU,Financials,0.005100410638745226,686.6935765177706
SYK,Health Care,0.0050925561014690274,685.6360812147235
STLD,Materials,0.0050693771302691175,682.515381380801
NKE,Consumer Discretionary,0.005058061113509921,680.9918499299648
BX,Financials,0.004997368253824419,672.8204692630973
COO,Health Care,0.0049675081732897764,668.8002585487524
NTRS,Financials,0.004939811631084939,665.0713357284333
PM,Consumer Staples,0.0048953372936955,659.0835351436699
RSG,Industrials,0.004887203433863575,657.9884332598238
CTVA,Materials,0.004839696643973399,651.592358557378
