news_alpha,close_return,next_open_return,close_sharpe,next_open_sharpe,worst_drawdown,objective
2.0,2.3913162600290025,2.4047753731992283,2.6745569327990864,2.6883583938847107,-0.2590697811663747,2.6123416423437265
1.5,2.2375648058659503,2.2490347565824096,2.7131852440516804,2.73069628545859,-0.21620366131976265,2.4702305782937497
1.0,2.095355579127169,2.1042079110662764,2.7314146848667495,2.752296729237984,-0.22618737125698796,2.3268005061380896
0.75,2.0344555881068827,2.0418183322883428,2.732536799833412,2.7545476572681618,-0.23538950496427402,2.2635764647699532
0.5,1.9817797097476073,1.9875948431258132,2.728940092993728,2.7515860120240245,-0.24326480748364765,2.2083468109015327
0.35,1.9542470505400003,1.9591407285477165,2.724856311977324,2.7476679930779535,-0.2473618890722915,2.179217775126361
0.2,1.929667774663196,1.9336964806961596,2.719550697270438,2.7424192375409393,-0.25219220193441527,2.152795886416542
0.1,1.9147021480464126,1.9181855334048952,2.7153160906970264,2.7381684890707882,-0.2552196576336905,2.1365831797327703
0.0,1.9008852556921,1.9038170445849043,2.71066311294584,2.7334385421827525,-0.25799581899623136,2.1215251187445596
